Feature,Importance
Previous_Week_Sales,0.6050202612215444
Rolling_Mean_4,0.3277353151418007
Sales_Difference,0.04592528180638533
Revenue_Growth,0.009472794761365746
Rolling_STD_4,0.00905542484182475
Day,0.0005268273654558034
Week,0.0004372315146634948
Temperature,0.0003722476987575353
Store,0.0003707479366415804
Unemployment,0.00030191211135959114
CPI,0.00027144640273175474
Fuel_Price,0.0002412282266635454
Month,0.00012824422279712365
Year,4.963542003422765e-05
Holiday_Flag,4.62000028635656e-05
Quarter,4.520132511090861e-05
IsWeekend,0.0
DayOfWeek,0.0
